1662;Campo Grande;Mato Grosso do Sul;MS
1667;Porto Alegre;Rio Grande do Sul;RS
1670;Rondonópolis;Mato Grosso;MT
1673;Recife;Pernambuco;PE
1674;Florianópolis;Santa Catarina;SC
1675;Curitiba;Paraná;PR
1684;Belém;Pará;PA
1686;Recife;Pernambuco;PE
1693;Brasília;Distrito Federal;DF
1696;Lucrécia;Rio Grande do Norte;RN
1700;Curitiba;Paraná;PR
1705;Recife;Pernambuco;PE
1706;Porto Alegre;Rio Grande do Sul;RS
1707;Salvador;Bahia;BA
1711;Recife;Pernambuco;PE
1716;CEILÂNDIA;Distrito Federal;DF
1723;São Luís;Maranhão;MA
1724;Salvador;Bahia;BA
1726;Vilhena;Rondônia;RO
1728;Campo Mourão;Paraná;PR
1730;Rio de Janeiro;Rio de Janeiro;RJ
1732;Salvador;Bahia;BA
1734;Recife;Pernambuco;PE
1736;São Miguel do Guamá;Pará;PA
1737;São Paulo;São Paulo;SP
1738;Maceió;Alagoas;AL
1739;São Paulo;São Paulo;SP
1742;Recife;Pernambuco;PE
1744;Manaus;Amazonas;AM
1751;Cascavel;Paraná;PR
1758;Porto Alegre;Rio Grande do Sul;RS
1760;Brasília;Distrito Federal;DF
1761;Recife;Pernambuco;PE
1763;Mandaguari;Paraná;PR
1764;Fortaleza;Ceará;CE
1773;Teresina;Piauí;PI
1776;Rio de Janeiro;Rio de Janeiro;RJ
1784;Núcleo Bandeirantes;Distrito Federal;DF
1786;São Luís;Maranhão;MA
1787;Ampére;Paraná;PR
1794;Florianopolis;Santa Catarina;SC
1795;TAGUATINGA;Distrito Federal;DF
1801;Porto Alegre; Rio Grande do Sul;RS
1803;Curitiba;Paraná;PR
1805;Curitiba;Paraná;PR
1806;Goiânia;Goiás;GO
1809;Natal;Rio Grande do Norte;RN
1810;Jaú;São Paulo;SP
1812;Salvador;Bahia;BA
1813;Brasília;Distrito Federal;DF
1817;Fortaleza;Ceará;CE
1818;São José dos Campos;São Paulo;SP
1827;Salvador;Bahia;BA
1830;Cornelio Procopio;Paraná;PR
1833;São Paulo;São Paulo;SP
1838;Belo Horizonte;Minas Gerais;MG
1840;Salvador;Bahia;BA
1841;São Paulo;São Paulo;SP
1842;Salvador;Bahia;BA
1846;Sumaré;São Paulo;SP
1849;Almenara;Minas Gerais;MG
1860;Porto Alegre;Rio Grande do Sul;RS
1864;João Pessoa;Paraíba;PB
1865;Maceió;Alagoas;AL
1868;Rio de Janeiro;Rio de Janeiro;RJ
1870;Recife;Pernambuco;PE
1871;Belo Horizonte;Minas Gerais;MG
1873;Curitiba;Paraná;PR
1875;Maricá;Rio de Janeiro;RJ
1879;Cuiabá;Mato Grosso;MT
1887;Dourados;Mato Grosso do Sul;MS
1889;Recife;Pernambuco;PE
1891;Presidente Prudente;São Paulo;SP
1893;Rio de Janeiro;Rio de Janeiro;RJ
1897;Aracaju;Sergipe;SE
1902;Belo Horizonte;Minas Gerais;MG
1907;Natal;Rio Grande do Norte;RN
1908;Maringá;Paraná;PR
1911;Petrópolis;Rio de Janeiro;RJ
1917;Campos Belos;Goiás;GO
1927;Vitória;Espírito Santo;ES
1928;Rio de Janeiro;Rio de Janeiro;RJ
1930;Vitória da Conquista;Bahia;BA
1932;Porto Alegre; Rio Grande do Sul;RS
1935;Indaiatuba;São Paulo;SP
1937;Ipatinga;Minas Gerais;MG
1938;João Pessoa;Paraíba;PB
1943;Brasília;Distrito Federal;DF
1947;Maceió;Alagoas;AL
1952;Brasilia;Distrito Federal;DF
1961;Uberaba;Minas Gerais;MG
1963;Salvador;Bahia;BA
1964;Belo Horizonte;Minas Gerais;MG
1966;Salvador;Bahia;BA
1968;Goiânia;Goiás;GO
1973;Rio de Janeiro; Rio de Janeiro;RJ
1974;Teresina;Piauí;PI
1977;Itabuna;Bahia;BA
1983;Foz do Iguaçu;Paraná;PR
1988;Vila Velha;Espírito Santo;ES
1992;Goiânia;Goiás;GO
1996;Tobias Barreto;Sergipe;SE
2003;Belém;Pará;PA
2004;Brasília;Distrito Federal;DF
2006;Ituverava;São Paulo;SP
2009;Goiânia;Goiás;GO
2018;Cuiabá;Mato Grosso;MT
2020;Porto Alegre;Rio Grande do Sul;RS
2021;Rio de Janeiro; Rio de Janeiro;RJ
2023;São Caetano do Sul;São Paulo;SP
2027;Brasília;Distrito Federal;DF
2034;Salvador;Bahia;BA
2035;Mantena;Minas Gerais;MG
2038;Três Rios;Rio de Janeiro;RJ
2039;Recife;Pernambuco;PE
2040;Campo Grande;Mato Grosso do Sul;MS
2041;Recife;Pernambuco;PE
2045;São Paulo;São Paulo;SP
2047;Curitiba;Paraná;PR
2049;Dracena;São Paulo;SP
2052;Rio de Janeiro;Rio de Janeiro;RJ
2054;Tatuí;São Paulo;SP
2058;Sete Lagoas;Minas Gerais;MG
2059;Brasília;Distrito Federal;DF
2060;Miguel Pereira;Rio de Janeiro;RJ
2061;Salvador;Bahia;BA
2063;Recife;Pernambuco;PE
2066;Curitiba;Paraná;PR
2075;Capitão de Campos;Piauí;PI
2077;Bauru;São Paulo;SP
2078;Rio de Janeiro; Rio de Janeiro;RJ
2080;Maringá;Paraná;PR
2090;Belém;Pará;PA
2092;Brasília;Distrito Federal;DF
2097;Salvador;Bahia;BA
2104;Patos de Minas;Minas Gerais;MG
2105;Arapiraca;Alagoas;AL
2114;Campo Belo;Minas Gerais;MG
2128;Ceilândia Norte;Distrito Federal;DF
2131;Abreu e Lima;Pernambuco;PE
2133;Rio de Janeiro;Rio de Janeiro;RJ
2137;Linhares;Espírito Santo;ES
2139;Belém;Pará;PA
2141;Recife;Pernambuco;PE
2143;Goiânia;Goiás;GO
2147;Florianópolis;Santa Catarina;SC
2148;João Pessoa;Paraíba;PB
2153;São Paulo;São Paulo;SP
2163;Rio de Janeiro;Rio de Janeiro;RJ
2164;Governador Valadares;Minas Gerais;MG
2165;Ilha Grande;Piauí;PI
2167;Boa Vista;Roraima;RR
2178;Rondonópolis;Mato Grosso;MT
2180;Brasília;Distrito Federal;DF
2182;Fortaleza;Ceará;CE
2192;Rio de Janeiro; Rio de Janeiro;RJ
2193;Vitória;Espírito Santo;ES
2195;São Luís;Maranhão;MA
2197;Nova Andradina;Mato Grosso do Sul;MS
2199;Brasília;Distrito Federal;DF
2201;Vitória;Espírito Santo;ES
2204;Salvador;Bahia;BA
2207;Curitiba;Paraná;PR
2214;Caruaru;Pernambuco;PE
2215;Brasilia;Distrito Federal;DF
2219;Niterói;Rio de Janeiro;RJ
2222;Campo Grande;Mato Grosso do Sul;MS
2223;Salvador;Bahia;BA
2226;Recife;Pernambuco;PE
2227;CEILÂNDIA;Distrito Federal;DF
2231;Brasília;Distrito Federal;DF
